"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.960679415E2,6.503693500E1,2.555294333E1,1.272180288E1,1.628066421E0,2.184799957E2,1.700000048E0,1.089999962E1
1.970679415E2,6.503692000E1,2.555291833E1,1.272180998E1,1.669758916E0,2.146300049E2,1.700000048E0,1.119999981E1
1.980679415E2,6.503690667E1,2.555289333E1,1.252181656E1,1.649170041E0,2.253099976E2,1.700000048E0,1.119999981E1
1.990679415E2,6.503689667E1,2.555286333E1,1.202182258E1,1.600271344E0,2.277500000E2,1.700000048E0,1.139999962E1
2.000679415E2,6.503688667E1,2.555283167E1,1.202182877E1,1.577108860E0,2.413899994E2,1.700000048E0,1.119999981E1
2.010679415E2,6.503687167E1,2.555280667E1,1.192183587E1,1.598212481E0,2.304400024E2,1.700000048E0,1.119999981E1
2.020679415E2,6.503686000E1,2.555277500E1,1.192184258E1,1.644022822E0,2.363800049E2,1.700000048E0,1.150000000E1
2.030679415E2,6.503684667E1,2.555274833E1,1.182184932E1,1.646081686E0,2.319499969E2,1.600000024E0,1.150000000E1
2.040679415E2,6.503683500E1,2.555272000E1,1.182185571E1,1.679538608E0,2.155399933E2,1.600000024E0,1.139999962E1
2.050679415E2,6.503682500E1,2.555269333E1,1.182186141E1,1.683141708E0,2.338500061E2,1.700000048E0,1.160000038E1
2.060679415E2,6.503681667E1,2.555265833E1,1.162186740E1,1.675420880E0,2.347700043E2,1.600000024E0,1.150000000E1
2.070679415E2,6.503681000E1,2.555262833E1,1.142187239E1,1.641963840E0,2.371399994E2,1.700000048E0,1.160000038E1
2.080679415E2,6.503680167E1,2.555259667E1,1.112187806E1,1.676964998E0,2.403300018E2,1.600000024E0,1.139999962E1
2.090679415E2,6.503679500E1,2.555256167E1,1.082188353E1,1.715054393E0,2.447700043E2,1.600000024E0,1.139999962E1
2.100679415E2,6.503678333E1,2.555253167E1,1.082189008E1,1.759835243E0,2.358200073E2,1.700000048E0,1.119999981E1
2.110679415E2,6.503677833E1,2.555249833E1,1.032189487E1,1.757776380E0,2.406699982E2,1.600000024E0,1.100000000E1
2.120679415E2,6.503677167E1,2.555246333E1,1.012190035E1,1.785056710E0,2.373899994E2,1.500000000E0,1.100000000E1
2.130679415E2,6.503676167E1,2.555242333E1,1.012190735E1,1.833440542E0,2.262700043E2,1.500000000E0,1.100000000E1
2.140679415E2,6.503675167E1,2.555238833E1,9.921913864E0,1.808219194E0,2.345399933E2,1.600000024E0,1.100000000E1
2.150679415E2,6.503674500E1,2.555235500E1,9.821919177E0,1.785571337E0,2.430500031E2,1.700000048E0,1.080000019E1
2.160679415E2,6.503673667E1,2.555232333E1,1.012192485E1,1.784541965E0,2.366100006E2,1.700000048E0,1.100000000E1
2.170679415E2,6.503673167E1,2.555228667E1,9.821929967E0,1.806674957E0,2.393899994E2,1.700000048E0,1.119999981E1
2.180679415E2,6.503672333E1,2.555225500E1,9.721935640E0,1.786600828E0,2.477500000E2,1.799999952E0,1.169999981E1
2.190679415E2,6.503671667E1,2.555222333E1,9.621940794E0,1.780938864E0,2.354900055E2,1.899999976E0,1.200000000E1
2.200679415E2,6.503671167E1,2.555219167E1,9.521945426E0,1.798954129E0,2.346600037E2,2.000000000E0,1.230000019E1
2.210679415E2,6.503670500E1,2.555215833E1,9.421950742E0,1.805645585E0,2.388600006E2,2.099999905E0,1.239999962E1
2.220679415E2,6.503670000E1,2.555213000E1,9.321955051E0,1.787115574E0,2.499900055E2,2.099999905E0,1.269999981E1
2.230679415E2,6.503668833E1,2.555211000E1,9.121960639E0,1.717113376E0,2.369700012E2,2.099999905E0,1.269999981E1
2.240689415E2,6.503668167E1,2.555208833E1,8.521964824E0,1.672332525E0,2.483899994E2,2.000000000E0,1.300000000E1
2.250689415E2,6.503667167E1,2.555206333E1,8.221970375E0,1.687259436E0,2.459799957E2,1.899999976E0,1.330000019E1
2.260689415E2,6.503666167E1,2.555203500E1,8.021976250E0,1.649170041E0,2.485200043E2,1.799999952E0,1.160000038E1
2.270689415E2,6.503665333E1,2.555199000E1,7.921983221E0,1.611595273E0,2.265899963E2,1.700000048E0,1.110000038E1
2.280689415E2,6.503664167E1,2.555194500E1,7.921991234E0,1.646596432E0,2.291000061E2,1.700000048E0,1.119999981E1
